Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0112706,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0345070,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0336676,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0345069,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0078136,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087369,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0113129,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0077479,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087493,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0305073,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0290026,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0290078,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0086555,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334633,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0330225,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085987,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302712,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333043,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0071004,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344978,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076364,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334404,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0334405,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332003,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333073,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089516,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339959,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0306239,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0081619,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301372,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0343342,,,,,,,,,
