,Align,DE,Dir,GeneName
407,bowtie2,DESeq2,down,FBtr0308828
408,bowtie2,DESeq2,down,FBtr0309256
409,bowtie2,DESeq2,down,FBtr0309828
410,bowtie2,DESeq2,down,FBtr0310016
411,bowtie2,DESeq2,down,FBtr0310034
412,bowtie2,DESeq2,down,FBtr0310055
413,bowtie2,DESeq2,down,FBtr0310438
414,bowtie2,DESeq2,down,FBtr0310647
415,bowtie2,DESeq2,down,FBtr0310653
416,bowtie2,DESeq2,down,FBtr0310660
417,bowtie2,DESeq2,down,FBtr0310661
418,bowtie2,DESeq2,down,FBtr0321321
419,bowtie2,DESeq2,down,FBtr0329839
420,bowtie2,DESeq2,down,FBtr0329955
421,bowtie2,DESeq2,down,FBtr0329957
422,bowtie2,DESeq2,down,FBtr0330054
423,bowtie2,DESeq2,down,FBtr0330118
424,bowtie2,DESeq2,down,FBtr0330159
425,bowtie2,DESeq2,down,FBtr0330263
426,bowtie2,DESeq2,down,FBtr0330722
427,bowtie2,DESeq2,down,FBtr0330725
428,bowtie2,DESeq2,down,FBtr0330730
429,bowtie2,DESeq2,down,FBtr0331931
430,bowtie2,DESeq2,down,FBtr0331952
431,bowtie2,DESeq2,down,FBtr0332042
432,bowtie2,DESeq2,down,FBtr0332057
433,bowtie2,DESeq2,down,FBtr0332116
434,bowtie2,DESeq2,down,FBtr0332122
435,bowtie2,DESeq2,down,FBtr0332203
436,bowtie2,DESeq2,down,FBtr0332260
437,bowtie2,DESeq2,down,FBtr0332405
438,bowtie2,DESeq2,down,FBtr0332500
439,bowtie2,DESeq2,down,FBtr0332503
440,bowtie2,DESeq2,down,FBtr0332930
441,bowtie2,DESeq2,down,FBtr0333020
442,bowtie2,DESeq2,down,FBtr0333625
443,bowtie2,DESeq2,down,FBtr0333662
444,bowtie2,DESeq2,down,FBtr0333671
445,bowtie2,DESeq2,down,FBtr0334067
446,bowtie2,DESeq2,down,FBtr0334282
447,bowtie2,DESeq2,down,FBtr0334327
448,bowtie2,DESeq2,down,FBtr0334328
449,bowtie2,DESeq2,down,FBtr0334553
450,bowtie2,DESeq2,down,FBtr0334762
451,bowtie2,DESeq2,down,FBtr0334867
452,bowtie2,DESeq2,down,FBtr0335013
453,bowtie2,DESeq2,down,FBtr0335024
454,bowtie2,DESeq2,down,FBtr0335206
455,bowtie2,DESeq2,down,FBtr0336616
456,bowtie2,DESeq2,down,FBtr0336736
457,bowtie2,DESeq2,down,FBtr0336759
458,bowtie2,DESeq2,down,FBtr0337056
459,bowtie2,DESeq2,down,FBtr0339081
460,bowtie2,DESeq2,down,FBtr0339234
461,bowtie2,DESeq2,down,FBtr0339407
462,bowtie2,DESeq2,down,FBtr0339593
463,bowtie2,DESeq2,down,FBtr0339643
464,bowtie2,DESeq2,down,FBtr0340289
465,bowtie2,DESeq2,down,FBtr0340709
466,bowtie2,DESeq2,down,FBtr0342811
467,bowtie2,DESeq2,down,FBtr0342815
468,bowtie2,DESeq2,down,FBtr0343095
469,bowtie2,DESeq2,down,FBtr0343358
470,bowtie2,DESeq2,down,FBtr0343424
471,bowtie2,DESeq2,down,FBtr0343504
472,bowtie2,DESeq2,down,FBtr0344179
473,bowtie2,DESeq2,down,FBtr0344980
474,bowtie2,DESeq2,down,FBtr0345142
475,bowtie2,DESeq2,down,FBtr0345204
476,bowtie2,DESeq2,down,FBtr0345487
477,bowtie2,DESeq2,down,FBtr0346632
478,bowtie2,DESeq2,down,FBtr0347553
479,<<<<<<< HEAD,,,
480,Bowtie,EdgeR,down,FBtr0085105
481,Bowtie,EdgeR,down,FBtr0073120
482,Bowtie,EdgeR,down,FBtr0085085
483,Bowtie,EdgeR,down,FBtr0339391
484,Bowtie,EdgeR,down,FBtr0086613
485,Bowtie,EdgeR,down,FBtr0346714
486,Bowtie,EdgeR,down,FBtr0100508
487,Bowtie,EdgeR,down,FBtr0100504
488,Bowtie,EdgeR,down,FBtr0337020
489,Bowtie,EdgeR,down,FBtr0083467
490,Bowtie,EdgeR,down,FBtr0073974
491,Bowtie,EdgeR,down,FBtr0084465
492,Bowtie,EdgeR,down,FBtr0080389
493,Bowtie,EdgeR,down,FBtr0076545
494,Bowtie,EdgeR,down,FBtr0300272
495,Bowtie,EdgeR,down,FBtr0084911
496,Bowtie,EdgeR,down,FBtr0307015
497,Bowtie,EdgeR,down,FBtr0075699
498,Bowtie,EdgeR,down,FBtr0081257
499,Bowtie,EdgeR,down,FBtr0086676
500,Bowtie,EdgeR,down,FBtr0080839
501,Bowtie,EdgeR,down,FBtr0340135
502,Bowtie,EdgeR,down,FBtr0073359
503,Bowtie,EdgeR,down,FBtr0301413
504,Bowtie,EdgeR,down,FBtr0077920
505,Bowtie,EdgeR,down,FBtr0087820
506,Bowtie,EdgeR,down,FBtr0308213
507,Bowtie,EdgeR,down,FBtr0072635
508,Bowtie,EdgeR,down,FBtr0075199
509,Bowtie,EdgeR,down,FBtr0076453
510,Bowtie,EdgeR,down,FBtr0078069
511,Bowtie,EdgeR,down,FBtr0078841
512,Bowtie,EdgeR,down,FBtr0089978
513,Bowtie,EdgeR,down,FBtr0334586
514,Bowtie,EdgeR,down,FBtr0089485
515,Bowtie,EdgeR,down,FBtr0340190
516,Bowtie,EdgeR,down,FBtr0075942
517,Bowtie,EdgeR,down,FBtr0300542
518,Bowtie,EdgeR,down,FBtr0336697
519,Bowtie,EdgeR,down,FBtr0087618
520,Bowtie,EdgeR,down,FBtr0087617
521,Bowtie,EdgeR,down,FBtr0273224
522,Bowtie,EdgeR,down,FBtr0301964
523,Bowtie,EdgeR,down,FBtr0077008
524,Bowtie,EdgeR,down,FBtr0306254
525,Bowtie,EdgeR,down,FBtr0073839
526,Bowtie,EdgeR,down,FBtr0302291
527,Bowtie,EdgeR,down,FBtr0305917
528,Bowtie,EdgeR,down,FBtr0114506
529,Bowtie,EdgeR,down,FBtr0075928
530,Bowtie,EdgeR,down,FBtr0081614
531,Bowtie,EdgeR,down,FBtr0301838
532,Bowtie,EdgeR,down,FBtr0301837
533,Bowtie,EdgeR,down,FBtr0087258
534,Bowtie,EdgeR,down,FBtr0310064
535,Bowtie,EdgeR,down,FBtr0077310
536,Bowtie,EdgeR,down,FBtr0076427
537,Bowtie,EdgeR,down,FBtr0346711
538,Bowtie,EdgeR,down,FBtr0089263
