Align,DE,Dir,GeneName
kallisto,edgeR,down,FBtr0345114
kallisto,edgeR,down,FBtr0075389
kallisto,edgeR,down,FBtr0080838
kallisto,edgeR,down,FBtr0085755
kallisto,edgeR,down,FBtr0071105
kallisto,edgeR,down,FBtr0304933
kallisto,edgeR,down,FBtr0112851
kallisto,edgeR,down,FBtr0333662
kallisto,edgeR,down,FBtr0332851
kallisto,edgeR,down,FBtr0100457
kallisto,edgeR,down,FBtr0089484
kallisto,edgeR,down,FBtr0310647
kallisto,edgeR,down,FBtr0087621
kallisto,edgeR,down,FBtr0301450
kallisto,edgeR,down,FBtr0112532
kallisto,edgeR,down,FBtr0303756
kallisto,edgeR,down,FBtr0070457
kallisto,edgeR,down,FBtr0306255
kallisto,edgeR,down,FBtr0075753
kallisto,edgeR,down,FBtr0332148
kallisto,edgeR,down,FBtr0075927
kallisto,edgeR,down,FBtr0111030
kallisto,edgeR,down,FBtr0302692
kallisto,edgeR,down,FBtr0111029
kallisto,edgeR,down,FBtr0302694
kallisto,edgeR,down,FBtr0087257
kallisto,edgeR,down,FBtr0302645
kallisto,edgeR,down,FBtr0345896
kallisto,edgeR,down,FBtr0085094
kallisto,edgeR,down,FBtr0082139
kallisto,edgeR,down,FBtr0303787
kallisto,edgeR,down,FBtr0310055
kallisto,edgeR,down,FBtr0300612
kallisto,edgeR,down,FBtr0301289
kallisto,edgeR,down,FBtr0307520
kallisto,edgeR,down,FBtr0336616
kallisto,edgeR,down,FBtr0308065
kallisto,edgeR,down,FBtr0301403
kallisto,edgeR,down,FBtr0100595
kallisto,edgeR,down,FBtr0335178
kallisto,edgeR,down,FBtr0087295
kallisto,edgeR,down,FBtr0306107
kallisto,edgeR,down,FBtr0330159
kallisto,edgeR,down,FBtr0339081
kallisto,edgeR,down,FBtr0087533
kallisto,edgeR,down,FBtr0084659
kallisto,edgeR,down,FBtr0330730
kallisto,edgeR,down,FBtr0079491
kallisto,edgeR,down,FBtr0087789
kallisto,edgeR,down,FBtr0290019
kallisto,edgeR,down,FBtr0330269
kallisto,edgeR,down,FBtr0332529
kallisto,edgeR,down,FBtr0330118
kallisto,edgeR,down,FBtr0301504
kallisto,edgeR,down,FBtr0079077
kallisto,edgeR,down,FBtr0300599
kallisto,edgeR,down,FBtr0343424
kallisto,edgeR,down,FBtr0302615
kallisto,edgeR,down,FBtr0088996
kallisto,edgeR,down,FBtr0077645
kallisto,edgeR,down,FBtr0335024
kallisto,edgeR,down,FBtr0081352
kallisto,edgeR,down,FBtr0081354
kallisto,edgeR,down,FBtr0079042
kallisto,edgeR,down,FBtr0072956
kallisto,edgeR,down,FBtr0304995
kallisto,edgeR,down,FBtr0304993
kallisto,edgeR,down,FBtr0078144
kallisto,edgeR,down,FBtr0071934
kallisto,edgeR,down,FBtr0334867
kallisto,edgeR,down,FBtr0345142
kallisto,edgeR,down,FBtr0078937
kallisto,edgeR,down,FBtr0083967
kallisto,edgeR,down,FBtr0070985
kallisto,edgeR,down,FBtr0078083
kallisto,edgeR,down,FBtr0074276
kallisto,edgeR,down,FBtr0342815
kallisto,edgeR,down,FBtr0075341
kallisto,edgeR,down,FBtr0085209
kallisto,edgeR,down,FBtr0339612
kallisto,edgeR,down,FBtr0329957
kallisto,edgeR,down,FBtr0329955
kallisto,edgeR,down,FBtr0075811
kallisto,edgeR,down,FBtr0334849
kallisto,edgeR,down,FBtr0301847
kallisto,edgeR,down,FBtr0090022
kallisto,edgeR,down,FBtr0073339
kallisto,edgeR,down,FBtr0332102
kallisto,edgeR,down,FBtr0334328
kallisto,edgeR,down,FBtr0339189
kallisto,edgeR,down,FBtr0333595
kallisto,edgeR,down,FBtr0290076
kallisto,edgeR,down,FBtr0299968
kallisto,edgeR,down,FBtr0079253
kallisto,edgeR,down,FBtr0340709
kallisto,edgeR,down,FBtr0085156
kallisto,edgeR,down,FBtr0330186
kallisto,edgeR,down,FBtr0075793
kallisto,edgeR,down,FBtr0070965
kallisto,edgeR,down,FBtr0336904
kallisto,edgeR,down,FBtr0075204
kallisto,edgeR,down,FBtr0307374
kallisto,edgeR,down,FBtr0088774
kallisto,edgeR,down,FBtr0306616
kallisto,edgeR,down,FBtr0289981
kallisto,edgeR,down,FBtr0303912
kallisto,edgeR,down,FBtr0089649
kallisto,edgeR,down,FBtr0071240
kallisto,edgeR,down,FBtr0080565
kallisto,edgeR,down,FBtr0332205
kallisto,edgeR,down,FBtr0303387
kallisto,edgeR,down,FBtr0332405
