transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
FBtr0080754	FBtr0080754	813	771.57	0.00	0.00	0.00	0.00
FBtr0080755	FBtr0080755	2287	2245.57	0.00	0.00	0.00	0.00
FBtr0080756	FBtr0080756	1483	1441.57	12.00	0.61	0.39	100.00
FBtr0080757	FBtr0080757	950	908.57	3.00	0.24	0.16	100.00
FBtr0080758	FBtr0080758	1483	1441.57	12.00	0.61	0.39	100.00
FBtr0080759	FBtr0080759	950	908.57	3.00	0.24	0.16	100.00
FBtr0080760	FBtr0080760	3585	3543.57	1768.00	36.51	23.47	100.00
FBtr0080761	FBtr0080761	1582	1540.57	850.75	40.41	25.97	100.00
FBtr0080763	FBtr0080763	2304	2262.57	905.00	29.27	18.81	100.00
FBtr0080764	FBtr0080764	1691	1649.57	549.64	24.38	15.67	100.00
FBtr0080765	FBtr0080765	4095	4053.57	458.80	8.28	5.32	100.00
FBtr0080767	FBtr0080767	4186	4144.57	0.00	0.00	0.00	100.00
FBtr0080768	FBtr0080768	3975	3933.57	460.49	8.57	5.51	100.00
FBtr0080769	FBtr0080769	4007	3965.57	0.00	0.00	0.00	100.00
FBtr0080771	FBtr0080771	710	668.57	1154.54	126.36	81.22	100.00
FBtr0080773	FBtr0080773	3703	3661.57	26.74	0.53	0.34	100.00
FBtr0080774	FBtr0080774	3653	3611.57	704.53	14.27	9.17	100.00
FBtr0080775	FBtr0080775	3491	3449.57	356.03	7.55	4.85	100.00
FBtr0080776	FBtr0080776	3946	3904.57	280.98	5.27	3.38	100.00
FBtr0080777	FBtr0080777	3856	3814.57	3.72	0.07	0.05	100.00
FBtr0080781	FBtr0080781	1290	1248.57	0.00	0.00	0.00	0.00
FBtr0080782	FBtr0080782	942	900.57	0.00	0.00	0.00	0.00
FBtr0080783	FBtr0080783	825	783.57	0.00	0.00	0.00	0.00
FBtr0080784	FBtr0080784	789	747.57	0.00	0.00	0.00	0.00
FBtr0080785	FBtr0080785	988	946.57	1.00	0.08	0.05	100.00
FBtr0080786	FBtr0080786	6001	5959.57	0.00	0.00	0.00	0.00
FBtr0080787	FBtr0080787	1421	1379.57	23.00	1.22	0.78	100.00
FBtr0080788	FBtr0080788	2027	1985.57	7.00	0.26	0.17	100.00
FBtr0080790	FBtr0080790	1399	1357.57	0.00	0.00	0.00	0.00
FBtr0080792	FBtr0080792	611	569.57	1.00	0.13	0.08	100.00
FBtr0080800	FBtr0080800	692	650.57	0.00	0.00	0.00	0.00
FBtr0080801	FBtr0080801	3399	3357.57	0.00	0.00	0.00	0.00
FBtr0080802	FBtr0080802	809	767.57	0.00	0.00	0.00	0.00
FBtr0080803	FBtr0080803	4022	3980.57	0.00	0.00	0.00	100.00
FBtr0080804	FBtr0080804	3830	3788.57	1.50	0.03	0.02	100.00
FBtr0080805	FBtr0080805	3018	2976.57	0.00	0.00	0.00	0.00
FBtr0080806	FBtr0080806	2840	2798.57	1.00	0.03	0.02	100.00
FBtr0080807	FBtr0080807	440	398.57	0.00	0.00	0.00	0.00
FBtr0080808	FBtr0080808	2603	2561.57	8.00	0.23	0.15	100.00
FBtr0080809	FBtr0080809	1373	1331.57	1.00	0.05	0.04	100.00
FBtr0080810	FBtr0080810	1403	1361.57	0.00	0.00	0.00	0.00
FBtr0080811	FBtr0080811	4219	4177.57	210.00	3.68	2.36	100.00
FBtr0080814	FBtr0080814	1090	1048.57	0.00	0.00	0.00	0.00
FBtr0080815	FBtr0080815	948	906.57	0.00	0.00	0.00	0.00
FBtr0080816	FBtr0080816	905	863.57	0.00	0.00	0.00	0.00
FBtr0080821	FBtr0080821	1690	1648.57	0.00	0.00	0.00	0.00
FBtr0080824	FBtr0080824	1360	1318.57	2136.05	118.54	76.19	100.00
FBtr0080825	FBtr0080825	1083	1041.57	137.00	9.62	6.19	100.00
FBtr0080826	FBtr0080826	2439	2397.57	883.00	26.95	17.32	100.00
FBtr0080827	FBtr0080827	665	623.57	6.00	0.70	0.45	100.00
FBtr0080828	FBtr0080828	1814	1772.57	7.00	0.29	0.19	100.00
FBtr0080829	FBtr0080829	1496	1454.57	96.97	4.88	3.14	100.00
FBtr0080830	FBtr0080830	2262	2220.57	24.59	0.81	0.52	100.00
FBtr0080831	FBtr0080831	1768	1726.57	1302.83	55.22	35.49	100.00
FBtr0080832	FBtr0080832	1861	1819.57	934.17	37.57	24.15	100.00
FBtr0080833	FBtr0080833	1996	1954.57	1848.77	69.21	44.49	100.00
FBtr0080834	FBtr0080834	1063	1021.57	565.83	40.53	26.05	100.00
FBtr0080835	FBtr0080835	384	342.57	0.00	0.00	0.00	100.00
FBtr0080836	FBtr0080836	1528	1486.57	905.00	44.55	28.63	100.00
